;Time(ms);Axle_Torque_Feedback(N.m);;Time(ms);Speed_Feedback(m/s)
1760710762;10939,29005;816;;4229,929924;0
1760710762;10970,26014;814;;4240,289927;0
1760710762;11000,64015;800;;4250,409842;0
1760710762;11029,75011;782;;4260,139942;0
1760710762;11059,11016;780;;4270,040035;0
1760710762;11089,24007;810;;4279,999971;0
1760710762;11120,29004;792;;4290,119886;0
1760710762;11149,49012;792;;4300,09985;0
1760710762;11169,60001;778;;4310,269833;0
1760710762;11190,35006;810;;4319,72003;0
1760710762;11209,43022;790;;4329,809904;0
1760710762;11233,5;760;;4339,87999;0
1760710762;11249,75014;802;;4349,829912;0
1760710762;11269,32001;774;;4359,839916;0
1760710762;11298,76018;790;;4369,81988;0
1760710762;11318,13002;798;;4379,869938;0
1760710762;11340,15012;798;;4389,889956;0
1760710762;11369,03;802;;4399,940014;0
1760710762;11399,03021;786;;4409,989834;0
1760710762;11419,07001;776;;4420,239925;0
1760710762;11447,95012;808;;4430,310011;0
1760710762;11467,79013;772;;4440,409899;0
1760710763;11488,41;786;;4450,079918;0
1760710763;11508,69012;784;;4459,769964;0
1760710763;11538,1701;784;;4470,059872;0
1760710763;11558,0802;826;;4479,749918;0
1760710763;11578,81021;818;;4489,779949;0
1760710763;11610,73017;784;;4499,80998;0
1760710763;11638,43012;808;;4509,889841;0
1760710763;11668,34021;810;;4520,229816;0
1760710763;11698,00019;786;;4530,210018;0
1760710763;11728,11007;784;;4540,419817;0
1760710763;11758,08001;814;;4550,139904;0
1760710763;11776,77011;772;;4560,299873;0
1760710763;11806,58007;788;;4569,569826;0
1760710763;11836,71999;798;;4579,639912;0
1760710763;11857,30004;786;;4589,639902;0
1760710763;11876,95003;804;;4599,699974;0
1760710763;11908,49018;772;;4609,759808;0
1760710763;11936,94019;274;;4619,969845;0
1760710763;11967,73005;238;;4630,049944;0
1760710763;11997,39003;8;;4640,069962;0
1760710763;12026,95012;-84;;4650,019884;0
1760710763;12046,51999;-172;;4660,059929;0
1760710763;12066,85019;-226;;4670,039892;0
1760710763;12086,30013;-292;;4680,160046;0
1760710763;12116,87016;-448;;4690,189838;0,009856325
1760710763;12146,34013;-558;;4699,599981;0,009856325
1760710763;12176,42021;-596;;4709,749937;0,039425299
1760710763;12206,6102;-608;;4719,909906;0,039425299
1760710763;12236,50002;-604;;4730,000019;0,049281627
1760710763;12265,88011;-594;;4740,109921;0,049281627
1760710763;12296,33999;-604;;4749,840021;0,049281627
1760710763;12327,40021;-610;;4759,959936;0,049281627
1760710763;12356,04;-594;;4770,009995;0,049281627
1760710763;12374,32003;-594;;4780,040026;0,049281627
1760710763;12396,00015;-594;;4790,030003;0,049281627
1760710763;12419,08002;-590;;4800,09985;0,039425299
1760710763;12445,93;-586;;4810,319901;0,039425299
1760710763;12476,22013;-588;;4819,769859;0,039425299
1760710764;12506,25014;-616;;4829,91004;0,049281627
